strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
jvl-llvjv-vl-i-,膣,膣 → 月窒 | 窒 → 穴至 | 穴 → 宀八 | 宀 → 丶冖 | 至 → 𠫔土 | 𠫔 → 一厶,,,,,,
jvl-llvjvv-jviivi,𦡆,No steps,,,,,,
jvl-lv-jiv-ii,䐔,䐔 → 月扁 | 扁 → 戶冊 | 冊 → 冂卄,,,,,,
jvl-v----ivvl,腱,腱 → ⿰月建 | 建 → ⿺廴聿,jian4,5022.0,180.0,._.g._.4A.c3l,⿰月⿺廴聿,._.g._.4A.c3l
jvl-v--ijvvi-v-i,䐹,䐹 → 月肅 | 肅 → 肀𣶒 | 肀 → コ十 | 𣶒 → 片爿一 | 爿 → 𠃊丆丨,,,,,,
jvl-v--vjllvvl,腿,腿 →  /,tui3,1351.0,17509.0,,,
jvl-v--vlvi,䐚,䐚 → 月即 | 即 → 𠄌𫜹丶卩 | 𫜹 → コ一,,,,,,
jvl-v-i--v-vl,腵,腵 → ⿰月叚 | 叚 → ⿰⿸⿰丨コ𠄠⿱コ又 | 𠄠 → ⿱一一,jia1,8928.0,1.0,._.g._.)._.l.c.|.-.-.|.c.4,⿰月⿰⿸⿰丨コ⿱一一⿱コ又,._.g._.)._.l.c.|.-.-.|.c.4
jvl-v-jvj,胒,胒 → 月尼 | 尼 → 尸匕,,,,,,
jvl-v-vl-v-vl-,䐞,䐞 → 月弱 | 弱 → 弓冫弓冫 | 弓 → コ㇉ | 弓 → コ㇉,,,,,,
jvl-v-vvliv-i-l,膙,膙 → ⺼強 | 強 → 弓𧈧 | 弓 → コ㇉ | 𧈧 → 厶虫,,,,,,
jvl-vi--,䏔,䏔 → 月丑 | 丑 → ユ十,,,,,,
jvl-vi-viv-i-l,蜰,蜰 → 肥虫 | 肥 → 月巴 | 巴 → 巳丨 | 巳 → 乚コ,,,,,,
jvl-vilvvl,逄,逄 → ⿺辶夅 | 夅 → ⿱夂㐄 | 㐄 → ⿻十𠃋,pang2,5983.0,64.0,._.\v.|.9\X.).0.Vj-,⿺辶⿱夂⿻十𠃋,._.\v.|.9\X.).0.Vj-
jvl-vjiv--,脂,脂 → ⿰月旨 | 旨 → ⿱匕日,zhi1,2206.0,5492.0,._.g.|./Vi-.b,⿰月⿱匕日,._.g.|./Vi-.b
jvl-vjiv---vjl,䐜,䐜 → 月真 | 真 → 十具 | 具 → 𠀃三八 | 𠀃 → 冂一,,,,,,
jvl-vjiv-jv,脕,脕 → ⿰月免,wan4,9476.0,1.0,._.g.9oy,⿰月免,._.g.9oy
jvl-vjivl,䏢,䏢 → 月皮 | 皮 → 丨又丿乛,,,,,,
jvl-vjvi-v,脃,脃 → 月色,,,,,,
jvl-vjvj,肶,肶 → 月比,,,,,,
jvl-vjvj-i-,䏶,䏶 → 月坒 | 坒 → 比土,,,,,,
jvl-vl--ijl,祭,祭 → ⿱⿰𱼀⿺㇏㇇示 | 𱼀 → ⿻夕丶,ji4/zhai4,1782.0,9316.0,.|._.).9\.\._.\XX.Vr./vl\,⿱⿰⿻夕丶⿺㇏㇇示,.|._.).9\.\._.\XX.Vr./vl\
jvl-vl-vl-jiv--,䐲,䐲 → 月習 | 習 → 羽白 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫 | 白 → 丿日,,,,,,
jvl-vl-vl-jljjj,膠,膠 →  /,jiao1,6403.0,34.0,,,
jvl-vl-vl-l-jljl-i,臎,臎 → ⿰月翠 | 翠 → ⿱羽卒 | 卒 → ⿱𠅃十 | 𠅃 → ⿱亠从 | 从 → ⿰人人,cui4,7310.0,7.0,._.g.|.v=v=.|.|.=V._.a.a.0,⿰月⿱羽⿱⿱亠⿰人人十,._.g.|.v=v=.|.|.=V._.a.a.0
jvl-vljljvl,脧,脧 → ⿰⺼夋 | 夋 → ⿳厶八夂,juan1,7755.0,4.0,._.gA.||.d.8.9\X,⿰⺼⿳厶八夂,._.gA.||.d.8.9\X
jvl-vlljj-iv-lj-,膯,膯 → ⿰月登 | 登 → ⿱癶豆 | 豆 → ⿱𠮛䒑 | 𠮛 → ⿱一口,teng1,6768.0,18.0,._.g.|.vljaV.|.|.-.o.hVX,⿰月⿱癶⿱⿱一口䒑,._.g.|.vljaV.|.|.-.o.hVX
jvl-vv-il-jl,䐂,䐂 → 月录 | 录 → 彐氺 | 彐 → コ一,,,,,,
jvl-vvjv--vlvvi,膷,膷 → 月鄉 | 鄉 → 乡郎 | 乡 → 𠃋𠃋丿 | 郎 → 良阝 | 良 → 丶艮,,,,,,
jvl-vvll-,胟,胟 → 月母,,,,,,
jvl-vvvivjl-vllvllv,臘,,la4,8093.0,3.0,,,
jvlil,处,处 → 夂卜,chu3/chu4,206.0,194237.0,,,
jvlil,外,外 → ⿰夕卜,wai4,131.0,295645.0,._.9\.f,⿰夕卜,._.9\.f
jvliliv-,咎,咎 → ⿱处口 | 处 → ⿺夂卜,jiu4,3225.0,1431.0,.|._.9\X.f.o,⿱⿺夂卜口,.|._.9\X.f.o
jvliliv--,昝,昝 → ⿱处日 | 处 → ⿺夂卜,zan3,6447.0,31.0,.|._.9\X.f.b,⿱⿺夂卜日,.|._.9\X.f.b
jvliliv---,䀤,䀤 → 外目 | 外 → 夕卜,,,,,,
jvliliv-vj,夞,夞 → 外叱 | 外 → 夕卜 | 叱 → 口𠤎 | 𠤎 → 乚丿,,,,,,
jvlillvvl,迯,迯 → ⿺辶外 | 外 → ⿰夕卜,tao2,7174.0,9.0,._.\v._.9\.f,⿺辶⿰夕卜,._.\v._.9\.f
jvliv-,各,各 → ⿱夂口,ge4,209.0,193435.0,.|.9\X.o,⿱夂口,.|.9\X.o
jvliv-,名,名 → ⿱夕口处,ming2,203.0,198481.0,.|.9\.o,⿱夕口,.|.9\.o
jvliv-i-lvll,惫,惫 → ⿱夂思 | 思 → ⿱田心,bei4,3007.0,1879.0,.|.9\X.|.o0.w,⿱夂⿱田心,.|.9\X.|.o0.w
jvliv-i-vv-il-jllvvl,邍,邍 → 辶备录 | 辶 → 丶𠃍乀 | 备 → 夂田 | 录 → 彐氺 | 彐 → コ一,,,,,,
jvliv-jil---i-,雒,雒 → ⿰各隹 | 各 → ⿱夂口,luo4,5138.0,160.0,._.|.9\X.o.a=j-,⿰⿱夂口隹,._.|.9\X.o.a=j-
jvliv-jj-i,㪾,㪾 → 各斤 | 各 → 夂口,,,,,,
jvliv-l-jv--jl,㗮,㗮 → 名庚 | 名 → 夕口 | 庚 → 广コ大 | 广 → 丶厂,,,,,,
jvliv-lvll,㤩,No steps,,,,,,
jvliv-vjjvjj,䎊,䎊 → 各羽 | 各 → 夂口 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫,,,,,,
jvlj--i-,夝,夝 → 夕生 | 生 → 𠂉土,,,,,,
jvlj-ijl,匊,匊 → 勹米 | 米 → 丷木,,,,,,
jvlj-ijljiv---vllll,鵴,鵴 → 匊鳥 | 匊 → 勹米 | 米 → 丷木,,,,,,
jvljjj,㣊,㣊 → 夂彡,,,,,,
jvljjl,㶡,㶡 → 𠘨火 | 𠘨 → 丿㇤,,,,,,
jvljjl,灳,灳 → 勹火,,,,,,
jvljjl-jivjl,颎,颎 → ⿰⿱匕火页 | 页 → ⿱丆贝,jiong3,5669.0,96.0,._.|./Vi-.8a.|.rXX.e8S,⿰⿱匕火⿱丆贝,._.|./Vi-.8a.|.rXX.e8S
jvljl-v--vjl,飧,飧 → ⿰夕食,sun1,4494.0,328.0,._.9\.a\c7a,⿰夕食,._.9\.a\c7a
jvljliv-jvjl,㰶,㰶 → 咎欠 | 咎 → 处口 | 处 → 夂卜 | 欠 → ⺈人,,,,,,
jvljv,処,処 → 夂几 | 几 → 丿㇈,,,,,,
jvljvl-i-iv-,夡,夡 → 多吉 | 多 → 夕夕 | 吉 → 士口 | 士 → 十一,,,,,,
jvljvliv---ijl,㚌,㚌 → 多果 | 多 → 夕夕 | 果 → 日木,,,,,,
jvljvljv-i-iv-,㚋,㚋 → 多周 | 多 → 夕夕 | 周 → ⺆𠮷 | 𠮷 → 土口,,,,,,
jvljvll-vjjl,㚊,㚊 → 多亥 | 多 → 夕夕 | 亥 → 亠𠂈人 | 𠂈 → 𠄌丿,,,,,,
jvljvllvvl,迻,迻 → ⿺辶多 | 多 → ⿱夕夕,yi2,6797.0,17.0,._.\v.|.9\.9\,⿺辶⿱夕夕,._.\v.|.9\.9\
jvljvlvjjvjj,翗,翗 → 多羽 | 多 → 夕夕 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫,,,,,,
jvljvlvvviv-vi-v,郺,,,,,,,
jvll-,冬,冬 → ⿱夂⺀,dong1,1384.0,16368.0,.|.9\X.\\,⿱夂⺀,.|.9\X.\\
jvll-iv-i-liv-i-l,螽,螽 → ⿱冬䖵 | 冬 → ⿱夂⺀  | 䖵 → ⿰虫虫,zhong1,5830.0,77.0,.|.|.9\X.\\._.o0\.o0\,⿱⿱夂⺀⿰虫虫,.|.|.9\X.\\._.o0\.o0\
jvll-ji-jiv---jl,頯,頯 → 𢌳頁 | 頁 → 丆貝 | 貝 → 目八,,,,,,
jvll-jllllll,然,然 → ⿱⿰𱼀犬灬 | 𱼀 → ⿻夕丶,ran2,55.0,511026.0,.|._.).9\.\./v/.w\V,⿱⿰⿻夕丶犬灬,.|._.).9\.\./v/.w\V
jvll-v,㐑,㐑 → 冬乙 | 冬 → 夂⺀,,,,,,
jvllj--ivi,䍃,䍃 → 爫缶 | 爫 → 丿𭕄 | 缶 → 午凵 | 午 → 𠂉十,,,,,,
jvllj--ivijiv---vllll,鷂,鷂 → 䍃鳥 | 䍃 → 爫缶 | 爫 → 丿𭕄 | 缶 → 午凵 | 午 → 𠂉十,,,,,,
jvllj--ivijvjiv-i-l,颻,颻 → 䍃風 | 䍃 → 爫缶 | 爫 → 丿𭕄 | 缶 → 午凵 | 午 → 𠂉十 | 風 → 𠘨䖝 | 𠘨 → 丿㇤ | 䖝 → 丿虫,yao2,9884.0,1.0,,,
jvllj--ivijvvlijl,繇,繇 → ⿰䍃系 | 䍃 → ⿱爫缶 | 爫 → ⿱丿𭕄 | 缶 → ⿱午凵 | 午 → ⿱𠂉十 | 系 → ⿱丿糸 | 糸 → ⿱幺小 | 幺 → ⿽𠃋厶,yao2/you2/zhou4,5508.0,113.0,._.|.|./.wV.|.|.fV.0.u.|./.|.⿽.Vj-.d.w,⿰⿱⿱丿𭕄⿱⿱𠂉十凵⿱丿⿱⿽𠃋厶小,._.|.|./.wV.|.|.fV.0.u.|./.|.⿽.Vj-.d.w
jvllj--ivilvvl,遙,遙 → ⿺辶⿱𱼀缶 | 𱼀 → ⿻夕丶 | 缶 → ⿱午凵 | 午 → ⿱𠂉十,yao2,7652.0,5.0,._.\v.|.).9\.\.|.|.fV.0.u,⿺辶⿱⿻夕丶⿱⿱𠂉十凵,._.\v.|.).9\.\.|.|.fV.0.u
jvllj-ijl,夈,夈 → 夂米 | 米 → 丷木,,,,,,
jvllj-ijl,粂,粂 → 久米 | 久 → 𠂊㇏ | 𠂊 → 丿㇇ | 米 → 丷木,,,,,,
jvlljjl,灸,灸 → ⿱久火 | 久 → ⿸𠂊㇏ | 𠂊 → ⿰丿㇇,jiu3,4024.0,566.0,.|.)._./.Vr.\XX.8a,⿱⿸⿰丿㇇㇏火,.|.)._./.Vr.\XX.8a
jvlljvll,朋,朋 → ⿰月月,peng2,882.0,38271.0,._.g.g,⿰月月,._.g.g
jvlljvlljvlljvll,朤,朤 → 朋朋 | 朋 → 月月 | 朋 → 月月,,,,,,
jvlll---iv-,䚻,䚻 → 𱼀言 | 𱼀 → 夕丶,,,,,,
jvlll---iv-jvvlijl,䌛,䌛 → 䚻系 | 䚻 → 𱼀言 | 𱼀 → 夕丶 | 系 → 丿糸 | 糸 → 幺小 | 幺 → 𠃋厶,,,,,,
jvlll---iv-jvvlijllvvl,邎,邎 → 辶䌛 | 辶 → 丶𠃍乀 | 䌛 → 䚻系 | 䚻 → 𱼀言 | 𱼀 → 夕丶 | 系 → 丿糸 | 糸 → 幺小 | 幺 → 𠃋厶,,,,,,
jvlll---iv-lvvl,䢣,䢣 → 辶𧥧 | 辶 → 丶𠃍乀 | 𧥧 → 夕言,,,,,,
jvlllj--jl,朕,朕 → ⿰月关 | 关 → ⿱丷天 | 天 → ⿱一大,zhen4,3054.0,1766.0,._.g.|.8V.|.-.q,⿰月⿱丷⿱一大,._.g.|.8V.|.-.q
jvlllj--jl-i-,塍,塍 → ⿰月⿱龹土 | 龹 → ⿱丷夫 | 夫 → ⿻二人,cheng2,6584.0,25.0,._.g.|.|.8V.).=.a.t,⿰月⿱⿱丷⿻二人土,._.g.|.|.8V.).=.a.t
jvlllj--jl-ijl,榺,榺 → 月桊 | 桊 → 龹木 | 龹 → 丷夫 | 夫 → 二人,,,,,,
jvlllj--jli---ivllll,騰,騰 → ⿰月駦 | 駦 → ⿱龹馬 | 龹 → ⿱丷夫 | 夫 → ⿻二人,teng2,9654.0,1.0,._.g.|.|.8V.).=.a.vv-T,⿰月⿱⿱丷⿻二人馬,._.g.|.|.8V.).=.a.vv-T
jvlllj--jlil-jl,滕,滕 → ⿰月𣳾,teng2,3892.0,635.0,._.g.𣳾,⿰月𣳾,._.g.𣳾
jvlllj--jliv---jl,賸,賸 → ⿰月⿱龹貝 | 龹 → ⿱丷夫 | 夫 → ⿻二人 | 貝 → ⿱目八,sheng4,7360.0,7.0,._.g.|.|.8V.).=.a.|.e.8,⿰月⿱⿱丷⿻二人⿱目八,._.g.|.|.8V.).=.a.|.e.8
jvlllj--jliv-i-l,螣,螣 → ⿰月䖭 | 䖭 → ⿱龹虫 | 龹 → ⿱丷夫 | 夫 → ⿻二人,te4,7653.0,5.0,._.g.|.|.8V.).=.a.o0\,⿰月⿱⿱丷⿻二人虫,._.g.|.|.8V.).=.a.o0\
jvlllj--jlivlj--i-llll,黱,黱 → 月龹黑 | 龹 → 丷夫 | 夫 → 二人 | 黑 → 土丷口灬,,,,,,
jvlllj--jljviv-i-llll,鰧,鰧 → ⿰月鮝 | 鮝 → ⿱龹魚 | 龹 → ⿱丷夫 | 夫 → ⿻二人,teng,8829.0,2.0,._.g.|.|.8V.).=.a.9u-T,⿰月⿱⿱丷⿻二人魚,._.g.|.|.8V.).=.a.9u-T
jvlllj--jll---iv-,謄,謄 → 月誊 | 誊 → 龹言 | 龹 → 丷夫 | 夫 → 二人,teng2,9877.0,1.0,,,
jvlllj--jlvj,勝,勝 → 月劵 | 劵 → 龹力 | 龹 → 丷夫 | 夫 → 二人,,,,,,
jvlllj--jlvj-,媵,媵 → ⿰月⿱龹女 | 龹 → ⿱丷夫 | 夫 → ⿻二人,ying4,6712.0,20.0,._.g.|.|.8V.).=.a./j-,⿰月⿱⿱丷⿻二人女,._.g.|.|.8V.).=.a./j-
jvlllj--jlvvlijl,縢,縢 → ⿰月絭 | 絭 → ⿱龹糸 | 龹 → ⿱丷夫 | 夫 → ⿻二人 | 糸 → ⿱幺小 | 幺 → ⿽𠃋厶,teng2,8325.0,2.0,._.g.|.|.8V.).=.a.|.⿽.Vj-.d.w,⿰月⿱⿱丷⿻二人⿱⿽𠃋厶小,._.g.|.|.8V.).=.a.|.⿽.Vj-.d.w
jvllljil---i-,䧷,䧷 → 冬隹 | 冬 → 夂⺀,,,,,,
jvllljiv---vllll,䳉,䳉 → 冬鳥 | 冬 → 夂⺀,,,,,,
jvllljjl-ljjliv--ijl,爒,爒 → 炙尞 | 炙 → 𱼀火 | 𱼀 → 夕丶 | 尞 → 昚小 | 昚 → 𡗜日 | 𡗜 → 大丷,,,,,,
jvllljviv--vivv-v--jl,䶱,䶱 → 冬龜 | 冬 → 夂⺀  | 龜 → ⺈冂一乚⺊コ㐅𢑑 | 𢑑 → 𫜹𫜹 | 𫜹 → コ一 | 𫜹 → コ一,,,,,,
jvllvivl,服,服 → ⿰月𠬝 | 𠬝 → ⿸卩又,fu2,365.0,116961.0,._.g.).vlA.4,⿰月⿸卩又,._.g.).vlA.4
jvllvivljiv---vllll,鵩,鵩 → 服鳥 | 服 → 月𠬝 | 𠬝 → 卩又,,,,,,
jvllvl-iv-lj-,豋,豋 → 𱼀㇏㇇豆 | 𱼀 → 夕丶 | 豆 → 𠮛䒑 | 𠮛 → 一口,,,,,,
jvllvll,㤂,㤂 → 及心 | 及 → ㇋丿乀,,,,,,
jvllvll---iv-,詧,詧 → ⿱⿰𱼀⿺㇏㇇言 | 𱼀 → ⿻夕丶,qie4,7805.0,4.0,.|._.).9\.\._.\XX.Vr.4o,⿱⿰⿻夕丶⿺㇏㇇言,.|._.).9\.\._.\XX.Vr.4o
jvlv-,鸟,No steps,niao3,1263.0,19698.0,.9\cS,,
jvlv-llvjv,鸵,鸵 → ⿰鸟它 | 它 → ⿱宀匕 | 宀 → ⿱丶冖,tuo2,4322.0,405.0,._.9\cS.|.|.\.nV./Vi-,⿰鸟⿱⿱丶冖匕,._.9\cS.|.|.\.nV./Vi-
jvlvivi,岛,岛 → ⿹㇯鸟一山,dao3,798.0,44056.0,.).?.9\cS.-.lu,⿹㇯鸟一山,.).?.9\cS.-.lu
jvlvj,务,务 → ⿱夂力,wu4,245.0,176085.0,.|.9\X.v/X,⿱夂力,.|.9\X.v/X
jvlvj-,奿,,,,,,,
jvlvjiv---jlvvi,鄮,鄮 → ⿰貿阝 | 貿 → ⿱⿰𠂎刀貝 | 𠂎 → ⿱丿𠂈 | 𠂈 → ⿰𠄌丿 | 貝 → ⿱目八,mao4,8762.0,2.0,._.|._.|./._.Vl./.v/.|.e.8.vvi,⿰⿱⿰⿱丿⿰𠄌丿刀⿱目八阝,._.|._.|./._.Vl./.v/.|.e.8.vvi
jvlvjiv-i-,留,留 → ⿱⿰⿱丿⿰𠄌丶刀田,liu2,554.0,73287.0,.|._.|./._.Vl.\.v/.o0,⿱⿰⿱丿⿰𠄌丶刀田,.|._.|./._.Vl.\.v/.o0
jvlvjiv-i-lvvl,遛,遛 → ⿺辶留 | 留 → ⿱⿰⿱丿⿰𠄌丶刀田,liu4/liu2,4552.0,306.0,._.\v.|._.|./._.Vl.\.v/.o0,⿺辶⿱⿰⿱丿⿰𠄌丶刀田,._.\v.|._.|./._.Vl.\.v/.o0
jvlvjivjl,贸,贸 → ⿱⿰𠂎刀贝 | 𠂎 → ⿱丿𠂈 | 𠂈 → ⿰𠄌丿,mao4,1092.0,26198.0,.|._.|./._.Vl./.v/.e8S,⿱⿰⿱丿⿰𠄌丿刀贝,.|._.|./._.Vl./.v/.e8S
jvlvl-jvjl,袅,袅 → ⿹㇯鸟一衣 | 衣 → ⿱亠𧘇,niao3,3517.0,1012.0,.).?.9\cS.-.|.=V.yaV,⿹㇯鸟一⿱亠𧘇,.).?.9\cS.-.|.=V.yaV
jvlvv,夗,夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
jvlvv-i--ivllll,駌,駌 → 夗馬 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
jvlvv-i-vl,㼝,㼝 → 夗瓦 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
jvlvviv---,眢,眢 → ⿱夗目 | 夗 → ⿰夕㔾 | 㔾 → ⿺乚𠃌,yuan1,6436.0,32.0,.|._.9\._.Vl-X.V-lX.e,⿱⿰夕⿺乚𠃌目,.|._.9\._.Vl-X.V-lX.e
jvlvviv-i-,㽜,㽜 → 夗田 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
jvlvviv-i-l,䖤,䖤 → 夗虫 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
jvlvvivii-,盌,盌 → ⿱夗皿 | 夗 → ⿰夕㔾 | 㔾 → ⿺乚𠃌,wan3,8776.0,2.0,.|._.9\._.Vl-X.V-lX.nh,⿱⿰夕⿺乚𠃌皿,.|._.9\._.Vl-X.V-lX.nh
jvlvvjvlv-,鸳,鸳 → ⿱夗鸟 | 夗 → ⿰夕㔾 | 㔾 → ⿺乚𠃌,yuan1,3866.0,654.0,.|._.9\._.Vl-X.V-lX.9\cS,⿱⿰夕⿺乚𠃌鸟,.|._.9\._.Vl-X.V-lX.9\cS
jvlvvlvll,怨,怨 → ⿱夗心 | 夗 → ⿰夕㔾 | 㔾 → ⿺乚𠃌,yuan4,1637.0,11305.0,.|._.9\._.Vl-X.V-lX.w,⿱⿰夕⿺乚𠃌心,.|._.9\._.Vl-X.V-lX.w
jvv,饣,饣 → ⺈𠄌,,,,,,
jvv-,乌,乌 → ⿱丿⿹⿱𠃌㇉一,wu1,1244.0,20291.0,.|./.).|.V-lX.Vl-l.-,⿱丿⿹⿱𠃌㇉一,.|./.).|.V-lX.Vl-l.-
jvv--jvivl,皱,皱 → ⿰刍皮 | 刍 → ⿱⺈𫜹 | 𫜹 → ⿼コ一,zhou4,1954.0,7609.0,._.|.9V.⿼.c.-.v/l4,⿰⿱⺈⿼コ一皮,._.|.9V.⿼.c.-.v/l4
jvv--lvll,急,急 → ⿱刍心 | 刍 → ⿱⺈𫜹 | 𫜹 → ⿼コ一微,ji2,657.0,60141.0,.|.|.9V.⿼.c.-.w,⿱⿱⺈⿼コ一心,.|.|.9V.⿼.c.-.w
jvv--vi,邹,邹 → ⿰刍阝 | 刍 → ⿱⺈𫜹 | 𫜹 → ⿼コ一,zou1,3139.0,1591.0,._.|.9V.⿼.c.-.vvi,⿰⿱⺈⿼コ一阝,._.|.9V.⿼.c.-.vvi
jvv--vjl,饯,饯 → ⿰饣戋 | 饣 → ⿱⺈𠄌 | 戋 → ⿻戈一,jian4,4658.0,265.0,._.|.9V.Vl.).-va.-,⿰⿱⺈𠄌⿻戈一,._.|.9V.Vl.).-va.-
jvv--vljvvl,匓,匓 → 勹皀殳 | 皀 → 白匕 | 白 → 丿日 | 殳 → 𠘧又 | 𠘧 → 丿㇍,,,,,,
jvv-i-vlivii-,馌,馌 → 饣盍 | 饣 → ⺈𠄌 | 盍 → 去皿 | 去 → 土厶,,,,,,
jvv-ii-iv---i-,馑,馑 → ⿰饣堇 | 饣 → ⿱⺈𠄌 | 堇 → ⿱廿⿻口龶 | 廿 → ⿵卄一,jin3,4473.0,337.0,._.|.9V.Vl.|.).h.-.).o.j-V,⿰⿱⺈𠄌⿱⿵卄一⿻口龶,._.|.9V.Vl.|.).h.-.).o.j-V
jvv-ii-iv--j-jl,馓,馓 → ⿰饣散 | 饣 → ⿱⺈𠄌 | 散 → ⿰⿱龷月攵 | 龷 → ⿱艹一 | 攵 → ⿱𠂉乂,san3,5269.0,141.0,._.|.9V.Vl._.|.|.hV.-.g.|.fV.x,⿰⿱⺈𠄌⿰⿱⿱艹一月⿱𠂉乂,._.|.9V.Vl._.|.|.hV.-.g.|.fV.x
jvv-ijliv---,馇,馇 → ⿰饣查 | 饣 → ⿱⺈𠄌 | 查 → ⿱木旦 | 旦 → ⿱日一,zha,6000.0,63.0,._.|.9V.Vl.|.m.|.b.-,⿰⿱⺈𠄌⿱木⿱日一,._.|.9V.Vl.|.m.|.b.-
jvv-iv--il-il,馎,馎 → 饣尃 | 饣 → ⺈𠄌 | 尃 → 甫寸 | 甫 → 十丶月 | 寸 → 𬺰丶 | 𬺰 → 一亅,,,,,,
jvv-iv-lj-,饾,饾 → ⿰饣豆 | 饣 → ⿱⺈𠄌 | 豆 → ⿱𠮛䒑 | 𠮛 → ⿱一口,dou4,6737.0,19.0,._.|.9V.Vl.|.|.-.o.hVX,⿰⿱⺈𠄌⿱⿱一口䒑,._.|.9V.Vl.|.|.-.o.hVX
jvv-v,包,包 → ⿹勹巳 | 巳 → ⿺乚コ,bao1,454.0,91240.0,.).9._.Vl-X.c,⿹勹⿺乚コ,.).9._.Vl-X.c
jvv-vi,邬,邬 → ⿰乌阝 | 乌 → ⿱丿⿹⿱𠃌㇉一,wu1,5197.0,152.0,._.|./.).|.V-lX.Vl-l.-.vvi,⿰⿱丿⿹⿱𠃌㇉一阝,._.|./.).|.V-lX.Vl-l.-.vvi
jvv-vj-jv,饶,饶 → ⿰饣尧 | 饣 → ⿱⺈𠄌 | 尧 → ⿱𭠍兀 | 𭠍 → ⿻丿𫠠 | 𫠠 → ⿻一㇂ | 兀 → ⿱一儿,rao2,2266.0,5079.0,._.|.9V.Vl.|.)./.).-.Vl.|.-.y,⿰⿱⺈𠄌⿱⿻丿⿻一㇂⿱一儿,._.|.9V.Vl.|.)./.).-.Vl.|.-.y
jvvi,卬,卬 → 丿𠄌卩,,,,,,
jvvi-v,色,No steps,se4/shai3,304.0,142231.0,.9vl-v,,
jvvijjvvij,芻,芻 → ⿱⿹勹屮⿹勹屮 | 屮 → ⿻凵丨 | 屮 → ⿻凵丨,chu2,9485.0,1.0,.|.).9.).u.l.).9.).u.l,⿱⿹勹⿻凵丨⿹勹⿻凵丨,.|.).9.).u.l.).9.).u.l
jvvijjvvijjil---i-,雛,雛 → 芻隹 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨,,,,,,
jvvijjvvijjiv---vllll,鶵,鶵 → 芻鳥 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨,,,,,,
jvvijjvvijjvivl,皺,皺 → 芻皮 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨 | 皮 → 丨又丿乛,,,,,,
jvvijjvvijjvjl,㱀,㱀 → 芻欠 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨 | 欠 → ⺈人,,,,,,
jvvijjvvijvi,鄒,鄒 → 芻阝 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨,,,,,,
jvvilvvl,迎,迎 → ⿺辶卬 | 卬 → ⿰⿱丿𠄌卩,ying2,1069.0,27228.0,._.\v._.|./.Vl.vlA,⿺辶⿰⿱丿𠄌卩,._.\v._.|./.Vl.vlA
jvviv---iv---i-,䭪,䭪 → 饣量 | 饣 → ⺈𠄌 | 量 → 旦里 | 旦 → 日一 | 里 → 田土,,,,,,
jvviv--vjvj,馄,馄 → ⿰饣昆 | 饣 → ⿱⺈𠄌 | 昆 → ⿱日比,hun2,4631.0,275.0,._.|.9V.Vl.|.b.77,⿰⿱⺈𠄌⿱日比,._.|.9V.Vl.|.b.77
jvvivvlviv--,馉,馉 → ⿰饣骨 | 饣 → ⿱⺈𠄌,gu3,8087.0,3.0,._.|.9V.Vl.nvn.g,⿰⿱⺈𠄌骨,._.|.9V.Vl.nvn.g
jvvj--v,饩,饩 → ⿰饣气 | 饣 → ⿱⺈𠄌,xi4,5163.0,156.0,._.|.9V.Vl.f-vX,⿰⿱⺈𠄌气,._.|.9V.Vl.f-vX
jvvj-i-vlj,饿,饿 → ⿰饣我 | 饣 → ⿱⺈𠄌,e4,1911.0,7992.0,._.|.9V.Vl./jva,⿰⿱⺈𠄌我,._.|.9V.Vl./jva
jvvj-ivi,饰,饰 → ⿰饣⿱𠂉巾 | 饣 → ⿱⺈𠄌 | 巾 → ⿻冂丨,shi4,1604.0,11794.0,._.|.9V.Vl.|.fV.).n.l,⿰⿱⺈𠄌⿱𠂉⿻冂丨,._.|.9V.Vl.|.fV.).n.l
jvvj-jl,饫,饫 → ⿰饣夭 | 饣 → ⿱⺈𠄌 | 夭 → ⿱丿大,yu4,5141.0,159.0,._.|.9V.Vl.|./.q,⿰⿱⺈𠄌⿱丿大,._.|.9V.Vl.|./.q
