strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
lliiv--iv--l-jl,憫,憫 → 忄閔 | 閔 → 門文 | 文 → 亠乂,,,,,,
lliiv--iv--lvll,㦖,㦖 → 忄悶 | 悶 → 門心,,,,,,
lliiv--iv-ivj-,慺,,,,,,,
lliiv--ivii-,愠,愠 → ⿰忄昷 | 昷 → ⿱日皿,yun4,4535.0,312.0,._.wA.|.b.nh,⿰忄⿱日皿,._.wA.|.b.nh
lliiv--ivii-vl,慢,慢 → ⿰忄曼 | 曼 → ⿳曰罒又,man4,822.0,42506.0,._.wA.||.bX.nhV.4,⿰忄⿳曰罒又,._.wA.||.bX.nhV.4
lliiv--ivvl,㥥,㥥 → 忄禺 | 禺 → 日禸 | 禸 → 冂厶,,,,,,
lliiv--ivvllvll,㦙,No steps,,,,,,
lliiv--j--i-,惺,惺 → ⿰忄星 | 星 → ⿱日生,xing1,3357.0,1216.0,._.wA.|.b.ft,⿰忄⿱日生,._.wA.|.b.ft
lliiv--jl,㤤,㤤 → 忄日乂,,,,,,
lliiv--jvjj,惕,惕 → ⿰忄易 | 易 → ⿱日勿 | 勿 → ⿹勹⿰丿丿,ti4,2742.0,2698.0,._.wA.|.b.).9._././,⿰忄⿱日⿹勹⿰丿丿,._.wA.|.b.).9._././
lliiv--jvjlv,愒,愒 → 忄曷 | 曷 → 曰匃 | 曰 → 囗一 | 匃 → 勹亾 | 亾 → 𠃊人,,,,,,
lliiv--l-iv-ijl,憬,憬 → ⿰忄景 | 景 → ⿱日京 | 京 → ⿳亠口小,jing3,3693.0,809.0,._.wA.|.b.||.=V.o.w,⿰忄⿱日⿳亠口小,._.wA.|.b.||.=V.o.w
lliiv--l-jl,㥗,㥗 → 忄旻 | 旻 → 日文 | 文 → 亠乂,,,,,,
lliiv--vi-i--v--,憴,憴 → 忄黽 | 黽 → 冂一乚⺊彐𰀄 | 彐 → コ一 | 𰀄 → 𫜹 | 𫜹 → コ一,,,,,,
lliiv--vjvj,惃,惃 → 忄昆 | 昆 → 日比,,,,,,
lliiv-i,忡,忡 → ⿰忄中 | 中 → ⿻口丨,chong1,3326.0,1273.0,._.wA.).o.l,⿰忄⿻口丨,._.wA.).o.l
